rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
1,Seton Hall,Big East,188,90,70,0.641,0,0,0,0.000,188,90,70,0.641
2,Indiana,Big Ten,178,96,63,0.622,0,0,0,0.000,178,96,63,0.622
3,Denver,Summit League,198,104,86,0.621,0,0,0,0.000,198,104,86,0.621
4,Saint Louis,Atlantic 10,206,108,99,0.619,0,0,0,0.000,206,108,99,0.619
5,SMU,ACC,184,103,75,0.612,0,0,0,0.000,184,103,75,0.612
6,Washington,Big Ten,211,119,83,0.611,0,0,0,0.000,211,119,83,0.611
7,VCU,Atlantic 10,140,76,85,0.606,0,0,0,0.000,140,76,85,0.606
8,James Madison,Sun Belt,144,84,56,0.606,0,0,0,0.000,144,84,56,0.606
9,UCLA,Big Ten,170,101,61,0.604,0,0,0,0.000,170,101,61,0.604
10,Georgetown,Big East,186,108,89,0.602,0,0,0,0.000,186,108,89,0.602
11,Vermont,America East,175,105,66,0.601,0,0,0,0.000,175,105,66,0.601
12,Syracuse,ACC,175,105,69,0.600,0,0,0,0.000,175,105,69,0.600
13,UNC Greensboro,SoCon,197,118,91,0.597,0,0,0,0.000,197,118,91,0.597
14,Duke,ACC,180,110,70,0.597,0,0,0,0.000,180,110,70,0.597
15,Davidson,Atlantic 10,156,92,85,0.596,0,0,0,0.000,156,92,85,0.596
16,Virginia,ACC,165,100,74,0.596,0,0,0,0.000,165,100,74,0.596
17,Akron,Big East,178,108,90,0.593,0,0,0,0.000,178,108,90,0.593
18,North Carolina,ACC,164,100,82,0.592,0,0,0,0.000,164,100,82,0.592
19,Notre Dame,ACC,171,108,66,0.591,0,0,0,0.000,171,108,66,0.591
20,UCF,Sun Belt,166,103,87,0.588,0,0,0,0.000,166,103,87,0.588
21,NC State,ACC,202,130,88,0.586,0,0,0,0.000,202,130,88,0.586
22,Kansas City,Summit League,173,111,75,0.586,0,0,0,0.000,173,111,75,0.586
23,San Diego,WCC,158,100,83,0.585,0,0,0,0.000,158,100,83,0.585
24,Hofstra,CAA,148,94,80,0.584,0,0,0,0.000,148,94,80,0.584
25,UConn,Big East,173,113,77,0.583,0,0,0,0.000,173,113,77,0.583
26,Maryland,Big Ten,170,114,52,0.583,0,0,0,0.000,170,114,52,0.583
27,Princeton,Ivy League,143,92,76,0.582,0,0,0,0.000,143,92,76,0.582
28,West Virginia,Sun Belt,165,107,84,0.581,0,0,0,0.000,165,107,84,0.581
29,Oregon St.,WCC,146,97,62,0.580,0,0,0,0.000,146,97,62,0.580
30,Marshall,Sun Belt,167,110,87,0.578,0,0,0,0.000,167,110,87,0.578
31,Western Mich.,MVC,167,111,95,0.575,0,0,0,0.000,167,111,95,0.575
32,Clemson,ACC,134,91,68,0.573,0,0,0,0.000,134,91,68,0.573
33,Columbia,Ivy League,117,84,50,0.566,0,0,0,0.000,117,84,50,0.566
34,Pittsburgh,ACC,150,108,60,0.566,0,0,0,0.000,150,108,60,0.566
35,Louisville,ACC,130,91,73,0.566,0,0,0,0.000,130,91,73,0.566
36,Furman,SoCon,194,140,79,0.565,0,0,0,0.000,194,140,79,0.565
37,Providence,Big East,122,87,63,0.564,0,0,0,0.000,122,87,63,0.564
38,Harvard,Ivy League,131,96,49,0.563,0,0,0,0.000,131,96,49,0.563
39,High Point,Big South,160,117,67,0.563,0,0,0,0.000,160,117,67,0.563
40,Stanford,ACC,159,116,73,0.562,0,0,0,0.000,159,116,73,0.562
41,Grand Canyon,WAC,157,113,93,0.561,0,0,0,0.000,157,113,93,0.561
42,Bryant,America East,160,115,99,0.560,0,0,0,0.000,160,115,99,0.560
43,Dartmouth,Ivy League,102,75,51,0.559,0,0,0,0.000,102,75,51,0.559
44,Rutgers,Big Ten,136,102,51,0.559,0,0,0,0.000,136,102,51,0.559
45,FIU,American,136,101,66,0.558,0,0,0,0.000,136,101,66,0.558
46,Wisconsin,Big Ten,131,98,55,0.558,0,0,0,0.000,131,98,55,0.558
47,Portland,WCC,164,124,72,0.556,0,0,0,0.000,164,124,72,0.556
48,FGCU,ASUN,114,87,41,0.556,0,0,0,0.000,114,87,41,0.556
49,Brown,Ivy League,113,86,51,0.554,0,0,0,0.000,113,86,51,0.554
50,St. John's (NY),Big East,148,113,73,0.552,0,0,0,0.000,148,113,73,0.552
51,Boston College,ACC,137,106,54,0.552,0,0,0,0.000,137,106,54,0.552
52,Stetson,ASUN,117,91,48,0.551,0,0,0,0.000,117,91,48,0.551
53,San Diego St.,WAC,125,96,68,0.550,0,0,0,0.000,125,96,68,0.550
54,Oral Roberts,Summit League,121,93,70,0.549,0,0,0,0.000,121,93,70,0.549
55,California,ACC,130,101,73,0.548,0,0,0,0.000,130,101,73,0.548
56,Massachusetts,Summit League,132,105,56,0.546,0,0,0,0.000,132,105,56,0.546
57,American,Patriot,129,101,81,0.545,0,0,0,0.000,129,101,81,0.545
58,Wake Forest,ACC,134,107,60,0.545,0,0,0,0.000,134,107,60,0.545
59,UNCW,CAA,112,89,63,0.544,0,0,0,0.000,112,89,63,0.544
60,Siena,MAAC,134,107,67,0.544,0,0,0,0.000,134,107,67,0.544
61,Saint Mary's (CA),WCC,124,101,55,0.541,0,0,0,0.000,124,101,55,0.541
62,Charlotte,American,121,99,47,0.541,0,0,0,0.000,121,99,47,0.541
63,Cornell,Ivy League,146,119,74,0.540,0,0,0,0.000,146,119,74,0.540
64,Seattle U,WCC,127,104,66,0.539,0,0,0,0.000,127,104,66,0.539
65,UC San Diego,Big West,134,109,78,0.539,0,0,0,0.000,134,109,78,0.539
66,George Mason,Atlantic 10,112,91,67,0.539,0,0,0,0.000,112,91,67,0.539
67,UC Santa Barbara,Big West,150,123,80,0.538,0,0,0,0.000,150,123,80,0.538
68,Tulsa,American,123,101,63,0.538,0,0,0,0.000,123,101,63,0.538
69,Omaha,Summit League,113,93,59,0.538,0,0,0,0.000,113,93,59,0.538
70,UAlbany,America East,124,103,60,0.537,0,0,0,0.000,124,103,60,0.537
71,Kentucky,Sun Belt,142,119,69,0.535,0,0,0,0.000,142,119,69,0.535
72,Michigan St.,Big Ten,123,104,50,0.534,0,0,0,0.000,123,104,50,0.534
73,Virginia Tech,ACC,122,104,49,0.533,0,0,0,0.000,122,104,49,0.533
74,Sacred Heart,MAAC,126,107,66,0.532,0,0,0,0.000,126,107,66,0.532
75,LMU (CA),WCC,131,112,66,0.531,0,0,0,0.000,131,112,66,0.531
76,Drexel,CAA,108,92,60,0.531,0,0,0,0.000,108,92,60,0.531
77,Ohio St.,Big Ten,119,102,52,0.531,0,0,0,0.000,119,102,52,0.531
78,Yale,Ivy League,105,90,53,0.530,0,0,0,0.000,105,90,53,0.530
79,Evansville,MVC,134,114,85,0.530,0,0,0,0.000,134,114,85,0.530
80,New Hampshire,America East,127,109,67,0.530,0,0,0,0.000,127,109,67,0.530
81,Gonzaga,WCC,107,92,56,0.529,0,0,0,0.000,107,92,56,0.529
82,Penn St.,Big Ten,127,110,53,0.529,0,0,0,0.000,127,110,53,0.529
83,Michigan,Big Ten,151,132,57,0.528,0,0,0,0.000,151,132,57,0.528
84,Northwestern,Big Ten,122,106,58,0.528,0,0,0,0.000,122,106,58,0.528
85,Jacksonville,ASUN,119,104,48,0.528,0,0,0,0.000,119,104,48,0.528
86,Southern Ind.,OVC,120,104,70,0.527,0,0,0,0.000,120,104,70,0.527
87,Creighton,Big East,115,101,58,0.526,0,0,0,0.000,115,101,58,0.526
88,Monmouth,CAA,101,88,63,0.526,0,0,0,0.000,101,88,63,0.526
89,UC Irvine,Big West,146,128,93,0.525,0,0,0,0.000,146,128,93,0.525
90,Stony Brook,CAA,124,109,65,0.525,0,0,0,0.000,124,109,65,0.525
91,USC Upstate,Big South,133,118,71,0.523,0,0,0,0.000,133,118,71,0.523
92,Temple,American,107,95,59,0.523,0,0,0,0.000,107,95,59,0.523
93,Col. of Charleston,CAA,123,110,54,0.523,0,0,0,0.000,123,110,54,0.523
94,San Francisco,WCC,121,108,64,0.522,0,0,0,0.000,121,108,64,0.522
95,UNLV,WAC,112,100,69,0.521,0,0,0,0.000,112,100,69,0.521
96,Lehigh,Patriot,131,117,88,0.521,0,0,0,0.000,131,117,88,0.521
97,Fla. Atlantic,American,116,105,56,0.520,0,0,0,0.000,116,105,56,0.520
98,South Carolina,Sun Belt,127,115,69,0.519,0,0,0,0.000,127,115,69,0.519
99,Rhode Island,Atlantic 10,115,104,68,0.519,0,0,0,0.000,115,104,68,0.519
100,California Baptist,WAC,119,108,68,0.519,0,0,0,0.000,119,108,68,0.519
101,Santa Clara,WCC,127,116,62,0.518,0,0,0,0.000,127,116,62,0.518
102,Loyola Maryland,Patriot,113,103,62,0.518,0,0,0,0.000,113,103,62,0.518
103,Coastal Carolina,Sun Belt,102,93,52,0.518,0,0,0,0.000,102,93,52,0.518
104,Villanova,Big East,122,111,71,0.518,0,0,0,0.000,122,111,71,0.518
105,William & Mary,CAA,105,96,63,0.517,0,0,0,0.000,105,96,63,0.517
106,Lafayette,Patriot,150,138,82,0.516,0,0,0,0.000,150,138,82,0.516
107,North Florida,ASUN,117,108,61,0.516,0,0,0,0.000,117,108,61,0.516
108,Old Dominion,Sun Belt,128,119,63,0.515,0,0,0,0.000,128,119,63,0.515
109,Fairfield,MAAC,117,109,63,0.514,0,0,0,0.000,117,109,63,0.514
110,Missouri St.,American,105,98,60,0.513,0,0,0,0.000,105,98,60,0.513
111,Xavier,Big East,104,98,51,0.512,0,0,0,0.000,104,98,51,0.512
112,Wofford,SoCon,129,122,73,0.511,0,0,0,0.000,129,122,73,0.511
113,Central Ark.,ASUN,97,91,73,0.511,0,0,0,0.000,97,91,73,0.511
114,Boston U.,Patriot,112,106,82,0.510,0,0,0,0.000,112,106,82,0.510
115,NIU,MVC,106,101,74,0.509,0,0,0,0.000,106,101,74,0.509
116,Marquette,Big East,101,97,71,0.507,0,0,0,0.000,101,97,71,0.507
117,Eastern Ill.,OVC,115,111,67,0.507,0,0,0,0.000,115,111,67,0.507
118,UTRGV,DI Independent,70,68,39,0.506,0,0,0,0.000,70,68,39,0.506
119,Pacific,WCC,113,111,81,0.503,0,0,0,0.000,113,111,81,0.503
120,UMass Lowell,America East,116,114,69,0.503,0,0,0,0.000,116,114,69,0.503
121,Elon,CAA,126,124,66,0.503,0,0,0,0.000,126,124,66,0.503
122,Bucknell,Patriot,120,118,66,0.503,0,0,0,0.000,120,118,66,0.503
123,Bowling Green,MVC,106,105,75,0.502,0,0,0,0.000,106,105,75,0.502
124,Ga. Southern,Sun Belt,120,119,69,0.502,0,0,0,0.000,120,119,69,0.502
125,Army West Point,Patriot,116,115,74,0.502,0,0,0,0.000,116,115,74,0.502
126,Wright St.,Horizon,96,95,77,0.502,0,0,0,0.000,96,95,77,0.502
127,SIUE,OVC,124,125,81,0.498,0,0,0,0.000,124,125,81,0.498
128,Marist,MAAC,100,101,64,0.498,0,0,0,0.000,100,101,64,0.498
129,Lipscomb,ASUN,100,101,67,0.498,0,0,0,0.000,100,101,67,0.498
130,DePaul,Big East,105,106,67,0.498,0,0,0,0.000,105,106,67,0.498
131,UC Davis,Big West,125,128,83,0.496,0,0,0,0.000,125,128,83,0.496
132,Bradley,MVC,108,111,69,0.495,0,0,0,0.000,108,111,69,0.495
133,NJIT,America East,113,116,62,0.495,0,0,0,0.000,113,116,62,0.495
134,Binghamton,America East,112,115,67,0.495,0,0,0,0.000,112,115,67,0.495
135,Cleveland St.,Horizon,118,121,77,0.495,0,0,0,0.000,118,121,77,0.495
136,Fordham,Atlantic 10,102,105,87,0.495,0,0,0,0.000,102,105,87,0.495
137,Colgate,Patriot,116,119,63,0.495,0,0,0,0.000,116,119,63,0.495
138,Sacramento St.,Big West,116,119,81,0.495,0,0,0,0.000,116,119,81,0.495
139,Loyola Chicago,Atlantic 10,90,93,69,0.494,0,0,0,0.000,90,93,69,0.494
139,San Jose St.,WAC,130,134,72,0.494,0,0,0,0.000,130,134,72,0.494
141,South Fla.,American,113,117,60,0.493,0,0,0,0.000,113,117,60,0.493
142,Dayton,Atlantic 10,118,123,76,0.492,0,0,0,0.000,118,123,76,0.492
143,Western Ill.,OVC,131,137,70,0.491,0,0,0,0.000,131,137,70,0.491
144,Air Force,WAC,110,115,63,0.491,0,0,0,0.000,110,115,63,0.491
145,Mercer,SoCon,121,127,68,0.491,0,0,0,0.000,121,127,68,0.491
146,Gardner-Webb,Big South,114,120,70,0.490,0,0,0,0.000,114,120,70,0.490
147,ETSU,SoCon,101,106,53,0.490,0,0,0,0.000,101,106,53,0.490
148,CSU Bakersfield,Big West,101,107,82,0.490,0,0,0,0.000,101,107,82,0.490
149,Northeastern,CAA,92,97,49,0.489,0,0,0,0.000,92,97,49,0.489
150,Presbyterian,Big South,126,134,69,0.488,0,0,0,0.000,126,134,69,0.488
151,Butler,Big East,111,118,67,0.488,0,0,0,0.000,111,118,67,0.488
152,Memphis,American,89,96,61,0.486,0,0,0,0.000,89,96,61,0.486
153,Delaware,Summit League,110,118,60,0.486,0,0,0,0.000,110,118,60,0.486
154,Longwood,Big South,104,112,63,0.486,0,0,0,0.000,104,112,63,0.486
155,Quinnipiac,MAAC,103,111,74,0.486,0,0,0,0.000,103,111,74,0.486
156,La Salle,Atlantic 10,102,111,77,0.484,0,0,0,0.000,102,111,77,0.484
157,Drake,MVC,97,106,68,0.483,0,0,0,0.000,97,106,68,0.483
158,St. Thomas (MN),Summit League,109,119,66,0.483,0,0,0,0.000,109,119,66,0.483
159,Saint Joseph's,Atlantic 10,108,118,72,0.483,0,0,0,0.000,108,118,72,0.483
160,Mount St. Mary's,MAAC,101,111,60,0.482,0,0,0,0.000,101,111,60,0.482
161,Rider,MAAC,101,111,70,0.482,0,0,0,0.000,101,111,70,0.482
162,Penn,Ivy League,100,110,58,0.481,0,0,0,0.000,100,110,58,0.481
163,Northern Ky.,Horizon,94,105,67,0.479,0,0,0,0.000,94,105,67,0.479
164,UIW,OVC,106,119,58,0.477,0,0,0,0.000,106,119,58,0.477
165,Utah Tech,WAC,107,121,64,0.476,0,0,0,0.000,107,121,64,0.476
166,Le Moyne,NEC,113,127,50,0.476,0,0,0,0.000,113,127,50,0.476
167,Manhattan,MAAC,99,112,57,0.476,0,0,0,0.000,99,112,57,0.476
168,Oakland,Horizon,106,120,71,0.476,0,0,0,0.000,106,120,71,0.476
169,Georgia St.,Sun Belt,115,130,60,0.475,0,0,0,0.000,115,130,60,0.475
170,Radford,Big South,107,122,65,0.474,0,0,0,0.000,107,122,65,0.474
171,UAB,American,88,101,56,0.473,0,0,0,0.000,88,101,56,0.473
172,Cal Poly,Big West,117,136,92,0.472,0,0,0,0.000,117,136,92,0.472
173,Milwaukee,Horizon,113,131,66,0.471,0,0,0,0.000,113,131,66,0.471
174,St. Bonaventure,Atlantic 10,88,102,54,0.471,0,0,0,0.000,88,102,54,0.471
175,Saint Francis,NEC,104,121,67,0.471,0,0,0,0.000,104,121,67,0.471
176,George Washington,Atlantic 10,93,110,75,0.469,0,0,0,0.000,93,110,75,0.469
177,Cal St. Fullerton,Big West,116,139,91,0.467,0,0,0,0.000,116,139,91,0.467
178,Belmont,MVC,93,112,75,0.466,0,0,0,0.000,93,112,75,0.466
179,Utah Valley,WAC,87,104,62,0.466,0,0,0,0.000,87,104,62,0.466
180,Duquesne,Atlantic 10,97,116,57,0.465,0,0,0,0.000,97,116,57,0.465
181,Bellarmine,ASUN,91,111,67,0.463,0,0,0,0.000,91,111,67,0.463
182,Houston Christian,OVC,106,131,73,0.460,0,0,0,0.000,106,131,73,0.460
183,Chicago St.,NEC,99,123,67,0.458,0,0,0,0.000,99,123,67,0.458
184,Holy Cross,Patriot,103,128,68,0.458,0,0,0,0.000,103,128,68,0.458
185,UNC Asheville,Big South,95,118,59,0.458,0,0,0,0.000,95,118,59,0.458
186,UC Riverside,Big West,95,120,78,0.457,0,0,0,0.000,95,120,78,0.457
187,Green Bay,Horizon,95,122,81,0.455,0,0,0,0.000,95,122,81,0.455
188,Detroit Mercy,Horizon,101,129,72,0.454,0,0,0,0.000,101,129,72,0.454
189,CSUN,Big West,102,133,82,0.451,0,0,0,0.000,102,133,82,0.451
190,LIU,NEC,109,140,53,0.449,0,0,0,0.000,109,140,53,0.449
191,Lindenwood,OVC,119,155,71,0.448,0,0,0,0.000,119,155,71,0.448
192,UMBC,America East,95,125,59,0.446,0,0,0,0.000,95,125,59,0.446
193,Queens (NC),ASUN,97,127,54,0.446,0,0,0,0.000,97,127,54,0.446
194,Campbell,CAA,99,133,80,0.446,0,0,0,0.000,99,133,80,0.446
195,FDU,NEC,115,152,76,0.446,0,0,0,0.000,115,152,76,0.446
196,Saint Peter's,MAAC,89,118,55,0.445,0,0,0,0.000,89,118,55,0.445
197,Robert Morris,Horizon,93,124,60,0.444,0,0,0,0.000,93,124,60,0.444
198,Winthrop,Big South,89,119,56,0.443,0,0,0,0.000,89,119,56,0.443
199,UIC,MVC,91,125,79,0.442,0,0,0,0.000,91,125,79,0.442
200,Niagara,MAAC,81,111,63,0.441,0,0,0,0.000,81,111,63,0.441
201,IU Indy,Horizon,89,123,72,0.440,0,0,0,0.000,89,123,72,0.440
202,Stonehill,NEC,97,133,69,0.440,0,0,0,0.000,97,133,69,0.440
203,Canisius,MAAC,82,117,57,0.432,0,0,0,0.000,82,117,57,0.432
204,Liberty,OVC,107,155,72,0.428,0,0,0,0.000,107,155,72,0.428
205,Merrimack,MAAC,82,121,53,0.424,0,0,0,0.000,82,121,53,0.424
206,VMI,SoCon,99,148,65,0.421,0,0,0,0.000,99,148,65,0.421
207,Iona,MAAC,93,139,56,0.420,0,0,0,0.000,93,139,56,0.420
208,Purdue Fort Wayne,Horizon,77,126,73,0.411,0,0,0,0.000,77,126,73,0.411
209,Howard,NEC,90,144,62,0.409,0,0,0,0.000,90,144,62,0.409
210,Navy,Patriot,90,145,64,0.408,0,0,0,0.000,90,145,64,0.408
211,Mercyhurst,NEC,84,137,58,0.405,0,0,0,0.000,84,137,58,0.405
212,Central Conn. St.,NEC,81,146,57,0.386,0,0,0,0.000,81,146,57,0.386
213,New Haven,NEC,79,143,39,0.377,0,0,0,0.000,79,143,39,0.377
