institution,conference,all,division_i,division_ii,division_iii,non_member
A&M-Corpus Christi,Southland,2-4-3,1-4-3,,,1-0
Abilene Christian,WAC,4-6,4-6,,,
Air Force,Mountain West,2-5-2,2-4-2,0-1,,
Akron,MAC,3-2-1,3-2-1,,,
Alabama,SEC,7-3-2,7-3-2,,,
Alabama A&M,SWAC,4-7,4-7,,,
Alabama St.,SWAC,1-10-1,0-9,1-1,,0-0-1
Alcorn,SWAC,2-5-2,2-5-2,,,
American,Patriot,0-5-3,0-5-3,,,
App State,Sun Belt,4-3,4-3,,,
Arizona,Big 12,5-3,5-3,,,
Arizona St.,Big 12,7-0-1,7-0-1,,,
Ark.-Pine Bluff,SWAC,1-5-1,0-4,0-1,1-0,0-0-1
Arkansas,SEC,3-4-2,3-4-2,,,
Arkansas St.,Sun Belt,2-1-2,2-1-2,,,
Army West Point,Patriot,9-3-1,9-3-1,,,
Auburn,SEC,4-3-1,4-3-1,,,
Austin Peay,ASUN,0-5-3,0-5-3,,,
Ball St.,MAC,3-3-2,3-3-2,,,
Baylor,Big 12,7-2-3,7-2-3,,,
Bellarmine,ASUN,7-1-2,6-1-2,,1-0,
Belmont,MVC,2-2-4,2-2-4,,,
Binghamton,America East,5-2-2,5-2-2,,,
Boise St.,Mountain West,2-3-6,2-3-6,,,
Boston College,ACC,4-1-3,4-1-3,,,
Boston U.,Patriot,4-4-2,4-4-2,,,
Bowling Green,MAC,6-2-2,6-2-2,,,
Brown,Ivy League,6-2-2,6-2-2,,,
Bryant,America East,3-3-4,3-3-4,,,
Bucknell,Patriot,2-5-2,2-5-2,,,
Buffalo,MAC,4-2-1,4-2-1,,,
Butler,Big East,3-1-3,3-1-3,,,
BYU,Big 12,7-2-4,7-2-4,,,
Cal Poly,Big West,4-1-7,4-1-7,,,
Cal St. Fullerton,Big West,8-1-1,8-1-1,,,
California,ACC,4-1-4,4-1-4,,,
California Baptist,WAC,4-6-3,4-6-3,,,
Campbell,CAA,2-3-2,2-3-2,,,
Canisius,MAAC,1-4-2,1-4-2,,,
Central Ark.,ASUN,3-4,3-4,,,
Central Conn. St.,NEC,1-5-1,1-5-1,,,
Central Mich.,MAC,0-6,0-6,,,
Charleston So.,Big South,3-4-3,2-4-3,1-0,,
Charlotte,American,4-4,4-4,,,
Chattanooga,SoCon,6-3-1,6-3-1,,,
Chicago St.,NEC,2-3-3,2-3-3,,,
Cincinnati,Big 12,2-2-4,2-2-4,,,
Clemson,ACC,4-2-3,4-2-3,,,
Cleveland St.,Horizon,3-3-1,3-3-1,,,
Coastal Carolina,Sun Belt,3-3,3-3,,,
Col. of Charleston,CAA,4-3-1,4-3-1,,,
Colgate,Patriot,3-4-3,3-4-3,,,
Colorado,Big 12,9-3-1,9-3-1,,,
Colorado Col.,Mountain West,3-3-2,3-3-2,,,
Colorado St.,Mountain West,6-2-1,6-2-1,,,
Columbia,Ivy League,2-5-2,2-5-2,,,
Cornell,Ivy League,3-2-4,3-2-4,,,
Creighton,Big East,3-5-1,3-5-1,,,
CSU Bakersfield,Big West,3-5-1,3-5-1,,,
CSUN,Big West,2-6-2,2-6-2,,,
Dartmouth,Ivy League,7-3-2,6-3-2,,1-0,
Davidson,Atlantic 10,4-2-1,4-2-1,,,
Dayton,Atlantic 10,5-4-3,5-4-3,,,
Delaware,CUSA,7-0-3,7-0-3,,,
Delaware St.,NEC,2-4-2,2-4-1,0-0-1,,
Denver,Summit League,3-4-3,3-4-3,,,
DePaul,Big East,3-5,3-5,,,
Detroit Mercy,Horizon,2-6,1-6,,,1-0
Drake,MVC,3-4-3,3-4-3,,,
Drexel,CAA,1-2-6,1-2-6,,,
Duke,ACC,10-2-1,10-2-1,,,
Duquesne,Atlantic 10,5-2-2,5-2-2,,,
East Carolina,American,2-4-2,2-4-2,,,
East Texas A&M,Southland,3-6,3-6,,,
Eastern Ill.,OVC,3-5-2,3-5-2,,,
Eastern Ky.,ASUN,5-2-2,5-2-2,,,
Eastern Mich.,MAC,2-4,2-4,,,
Eastern Wash.,Big Sky,4-4-3,3-4-3,1-0,,
Elon,CAA,7-1-4,7-1-4,,,
ETSU,SoCon,5-3-2,5-3-2,,,
Evansville,MVC,4-2-1,4-2-1,,,
Fairfield,MAAC,5-2,5-2,,,
FDU,NEC,0-6-3,0-6-3,,,
FGCU,ASUN,3-4-1,2-4-1,,,1-0
FIU,CUSA,3-3-3,3-3-3,,,
Fla. Atlantic,American,3-5-1,3-5-1,,,
Florida,SEC,4-4,4-4,,,
Florida St.,ACC,10-0-2,10-0-2,,,
Fordham,Atlantic 10,5-3-2,5-3-2,,,
Fresno St.,Mountain West,3-2-3,3-2-3,,,
Furman,SoCon,7-2-1,6-2-1,,,1-0
Ga. Southern,Sun Belt,2-5-1,2-5-1,,,
Gardner-Webb,Big South,1-8-1,1-8-1,,,
George Mason,Atlantic 10,1-5-2,1-5-2,,,
George Washington,Atlantic 10,3-2-3,3-2-3,,,
Georgetown,Big East,6-4-3,6-4-3,,,
Georgia,SEC,4-4-3,4-4-3,,,
Georgia St.,Sun Belt,4-4-1,3-4-1,,,1-0
Gonzaga,WCC,2-6,1-6,1-0,,
Grambling,SWAC,6-7-2,6-7-1,,,0-0-1
Grand Canyon,Mountain West,5-3,5-3,,,
Green Bay,Horizon,4-6-1,4-6-1,,,
Hampton,CAA,5-3-1,2-3-1,3-0,,
Harvard,Ivy League,2-3-2,2-3-2,,,
Hawaii,Big West,2-4-4,2-4-4,,,
High Point,Big South,2-7-3,2-7-3,,,
Hofstra,CAA,3-2-4,3-2-4,,,
Holy Cross,Patriot,3-4-3,3-4-3,,,
Houston,Big 12,5-0-2,4-0-2,1-0,,
Houston Christian,Southland,8-5,8-5,,,
Howard,NEC,2-5-1,2-5-1,,,
Idaho,Big Sky,4-3-5,4-3-5,,,
Idaho St.,Big Sky,3-4-2,3-4-2,,,
Illinois,Big Ten,8-2,8-2,,,
Illinois St.,MVC,5-4-4,5-4-4,,,
Indiana,Big Ten,3-2-1,3-2-1,,,
Indiana St.,MVC,4-4-3,3-4-3,,,1-0
Iona,MAAC,2-4-1,2-4-1,,,
Iowa,Big Ten,6-3-1,6-3-1,,,
Iowa St.,Big 12,3-1-2,3-1-2,,,
IU Indy,Horizon,1-6-1,1-6-1,,,
Jackson St.,SWAC,3-6-2,3-6-2,,,
Jacksonville,ASUN,3-4-2,2-4-2,1-0,,
Jacksonville St.,CUSA,6-2-2,6-2-2,,,
James Madison,Sun Belt,4-2-3,4-2-3,,,
Kansas,Big 12,10-2-2,10-2-2,,,
Kansas City,Summit League,6-5-1,5-5-1,1-0,,
Kansas St.,Big 12,5-1-1,5-1-1,,,
Kennesaw St.,CUSA,1-5-3,1-5-3,,,
Kent St.,MAC,2-2-4,2-2-4,,,
Kentucky,SEC,7-2-2,7-2-2,,,
La Salle,Atlantic 10,3-4-1,3-4-1,,,
Lafayette,Patriot,2-5-4,2-5-4,,,
Lamar University,Southland,4-5-1,3-5-1,,,1-0
Le Moyne,NEC,0-7-1,0-7-1,,,
Lehigh,Patriot,2-4-2,2-4-2,,,
Liberty,CUSA,8-4-2,8-4-2,,,
Lindenwood,OVC,5-3-3,5-3-3,,,
Lipscomb,ASUN,8-4-1,8-4-1,,,
Little Rock,OVC,2-4-2,2-4-2,,,
LIU,NEC,2-2-2,2-2-2,,,
LMU (CA),WCC,3-2-1,3-2-1,,,
Long Beach St.,Big West,3-4-1,3-4-1,,,
Longwood,Big South,4-4-3,4-4-3,,,
Louisiana,Sun Belt,3-3-2,3-3-2,,,
Louisiana Tech,CUSA,1-9-1,1-9-1,,,
Louisville,ACC,7-3-1,7-3-1,,,
Loyola Chicago,Atlantic 10,5-2-2,5-2-2,,,
Loyola Maryland,Patriot,3-3-3,3-3-3,,,
LSU,SEC,10-4-1,10-4-1,,,
Maine,America East,3-5-2,3-5-2,,,
Manhattan,MAAC,1-1-4,1-1-4,,,
Marist,MAAC,1-6,1-6,,,
Marquette,Big East,4-3-1,4-3-1,,,
Marshall,Sun Belt,4-3,3-3,1-0,,
Maryland,Big Ten,4-3,4-3,,,
Massachusetts,MAC,2-2-2,2-2-2,,,
McNeese,Southland,1-7-2,1-7-2,,,
Memphis,American,8-1-2,8-1-2,,,
Mercer,SoCon,7-4,7-4,,,
Mercyhurst,NEC,0-7-1,0-7-1,,,
Merrimack,MAAC,1-3-2,1-3-2,,,
Miami (FL),ACC,6-1-1,6-1-1,,,
Miami (OH),MAC,3-3-1,3-3-1,,,
Michigan,Big Ten,3-4,3-4,,,
Michigan St.,Big Ten,8-3-3,8-3-3,,,
Middle Tenn.,CUSA,6-4-2,6-4-2,,,
Milwaukee,Horizon,5-5-1,5-5-1,,,
Minnesota,Big Ten,4-2,4-2,,,
Mississippi St.,SEC,7-3,7-3,,,
Mississippi Val.,SWAC,0-2,0-2,,,
Missouri,SEC,3-3-1,3-3-1,,,
Missouri St.,CUSA,5-6-1,5-6-1,,,
Monmouth,CAA,5-3-1,5-3-1,,,
Montana,Big Sky,6-3-3,5-3-3,1-0,,
Morehead St.,OVC,2-7,2-7,,,
Mount St. Mary's,MAAC,2-3,1-3,1-0,,
Murray St.,MVC,5-3-2,5-3-2,,,
Navy,Patriot,7-3,6-3,,1-0,
NC State,ACC,1-5-2,1-5-2,,,
Nebraska,Big Ten,5-0-2,5-0-2,,,
Nevada,Mountain West,1-6-1,1-6-1,,,
New Hampshire,America East,2-4-3,1-4-3,,1-0,
New Haven,NEC,0-5,0-5,,,
New Mexico,Mountain West,4-3-2,4-3-1,0-0-1,,
New Mexico St.,CUSA,1-9,1-9,,,
Niagara,MAAC,3-1,3-1,,,
Nicholls,Southland,3-4-1,3-4-1,,,
NIU,MAC,2-3-1,2-3-1,,,
NJIT,America East,5-2-3,5-2-3,,,
North Ala.,ASUN,4-2-3,4-2-3,,,
North Carolina,ACC,7-2-2,7-2-2,,,
North Dakota,Summit League,6-3-1,5-3-1,1-0,,
North Dakota St.,Summit League,4-6,1-6,2-0,,1-0
North Florida,ASUN,4-6-2,4-6-2,,,
North Texas,American,4-5-1,4-5-1,,,
Northeastern,CAA,1-3-3,1-3-3,,,
Northern Ariz.,Big Sky,4-3-4,3-3-4,,,1-0
Northern Colo.,Big Sky,1-6-4,1-6-4,,,
Northern Ky.,Horizon,3-2-4,2-2-4,,1-0,
Northwestern,Big Ten,5-2-3,5-2-3,,,
Northwestern St.,Southland,6-3-2,6-3-2,,,
Notre Dame,ACC,7-1-2,7-1-2,,,
Oakland,Horizon,2-6-2,2-6-2,,,
Ohio,MAC,2-4-1,2-4-1,,,
Ohio St.,Big Ten,7-3-1,6-3-1,1-0,,
Oklahoma,SEC,7-1-1,7-1-1,,,
Oklahoma St.,Big 12,4-3-1,4-3-1,,,
Old Dominion,Sun Belt,5-2-1,5-2-1,,,
Ole Miss,SEC,4-1,4-1,,,
Omaha,Summit League,3-5-3,3-5-3,,,
Oral Roberts,Summit League,7-4-1,5-4-1,1-0,,1-0
Oregon,Big Ten,2-4-1,2-4-1,,,
Oregon St.,WCC,1-3-4,1-3-4,,,
Pacific,WCC,3-3-2,3-3-2,,,
Penn,Ivy League,4-1-3,4-1-3,,,
Penn St.,Big Ten,5-4-1,5-4-1,,,
Pepperdine,WCC,3-5-1,3-5-1,,,
Pittsburgh,ACC,4-2-2,4-2-2,,,
Portland,WCC,3-2-3,3-2-3,,,
Portland St.,Big Sky,1-6-2,0-6-2,1-0,,
Prairie View,SWAC,1-8-1,1-8-1,,,
Presbyterian,Big South,3-4-1,3-4-1,,,
Princeton,Ivy League,3-4-3,3-4-3,,,
Providence,Big East,3-2-1,3-2-1,,,
Purdue,Big Ten,3-3-2,3-3-2,,,
Purdue Fort Wayne,Horizon,1-6-1,0-6-1,,,1-0
Queens (NC),ASUN,1-5-3,1-5-3,,,
Quinnipiac,MAAC,0-3-2,0-3-2,,,
Radford,Big South,3-4-1,1-4-1,2-0,,
Rhode Island,Atlantic 10,8-2-1,8-2-1,,,
Rice,American,7-2-1,7-2-1,,,
Richmond,Atlantic 10,3-2-3,3-2-3,,,
Rider,MAAC,2-2-2,2-2-2,,,
Robert Morris,Horizon,2-4-1,2-4-1,,,
Rutgers,Big Ten,2-0-3,2-0-3,,,
Sacramento St.,Big Sky,4-6,4-6,,,
Sacred Heart,MAAC,4-4-2,4-4-2,,,
Saint Francis,NEC,0-5-2,0-5-2,,,
Saint Joseph's,Atlantic 10,3-4-1,3-4-1,,,
Saint Louis,Atlantic 10,6-3-1,6-3-1,,,
Saint Mary's (CA),WCC,5-1-1,5-1-1,,,
Saint Peter's,MAAC,3-1-2,3-1-2,,,
Sam Houston,CUSA,3-4-2,3-4-2,,,
Samford,SoCon,6-3-3,6-3-3,,,
San Diego,WCC,3-0-4,3-0-4,,,
San Diego St.,Mountain West,5-2-3,5-2-3,,,
San Francisco,WCC,1-4-2,1-4-2,,,
San Jose St.,Mountain West,1-7,1-7,,,
Santa Clara,WCC,4-4,4-4,,,
Seattle U,WCC,4-0-4,4-0-4,,,
Seton Hall,Big East,3-1-4,3-1-4,,,
SFA,Southland,3-3-6,3-3-6,,,
Siena,MAAC,3-2-3,3-2-3,,,
SIUE,OVC,1-8-2,1-8-2,,,
SMU,ACC,6-2,6-2,,,
South Alabama,Sun Belt,4-3-1,4-3-1,,,
South Carolina,SEC,6-3-1,6-3-1,,,
South Carolina St.,DI Independent,2-14,1-13,1-1,,
South Dakota,Summit League,4-3-4,3-3-4,,,1-0
South Dakota St.,Summit League,9-2-3,7-2-3,2-0,,
South Fla.,American,5-4-1,5-4-1,,,
Southeast Mo. St.,OVC,0-10,0-10,,,
Southeastern La.,Southland,1-5-2,1-5-2,,,
Southern California,Big Ten,3-2-1,3-2-1,,,
Southern Ill.,MVC,6-2-2,6-2-2,,,
Southern Ind.,OVC,5-5-2,5-5-2,,,
Southern Miss.,Sun Belt,1-5-1,1-5-1,,,
Southern U.,SWAC,1-7,1-7,,,
Southern Utah,WAC,1-5-2,1-5-2,,,
St. Bonaventure,Atlantic 10,3-3-2,2-3-2,1-0,,
St. John's (NY),Big East,2-3-2,2-3-2,,,
St. Thomas (MN),Summit League,3-4-1,2-4-1,,,1-0
Stanford,ACC,12-2-1,12-2-1,,,
Stetson,ASUN,3-6,3-6,,,
Stonehill,NEC,0-5-2,0-5-2,,,
Stony Brook,CAA,7-2-2,7-2-2,,,
Syracuse,ACC,4-1-3,4-1-3,,,
Tarleton St.,WAC,6-2-2,5-2-2,,1-0,
TCU,Big 12,9-2-2,9-2-2,,,
Temple,American,3-6,2-6,1-0,,
Tennessee,SEC,6-2-1,6-2-1,,,
Tennessee Tech,OVC,1-7-5,1-7-5,,,
Texas,SEC,2-4-1,2-4-1,,,
Texas A&M,SEC,3-1-3,3-1-3,,,
Texas Southern,SWAC,2-6-3,0-6-3,,1-0,1-0
Texas St.,Sun Belt,5-3-3,4-3-3,,,1-0
Texas Tech,Big 12,7-1-2,7-1-2,,,
The Citadel,SoCon,3-4-1,2-4-1,,,1-0
Toledo,MAC,3-1-2,3-1-2,,,
Towson,CAA,2-2-3,2-2-3,,,
Troy,Sun Belt,5-2,4-2,1-0,,
Tulsa,American,5-3-2,4-3-2,1-0,,
UAB,American,3-3-3,3-3-3,,,
UAlbany,America East,1-6-2,1-6-2,,,
UC Davis,Big West,2-4-3,2-4-3,,,
UC Irvine,Big West,3-3-4,3-3-4,,,
UC Riverside,Big West,0-7-1,0-7-1,,,
UC San Diego,Big West,2-3-4,2-3-4,,,
UC Santa Barbara,Big West,8-3-2,8-3-2,,,
UCF,Big 12,7-3,7-3,,,
UCLA,Big Ten,6-3-1,6-3-1,,,
UConn,Big East,4-3-1,4-3-1,,,
UIC,MVC,5-5-3,4-5-3,,,1-0
UIW,Southland,2-3-1,2-3-1,,,
ULM,Sun Belt,7-3,7-3,,,
UMass Lowell,America East,3-3-3,3-3-3,,,
UMBC,America East,4-3-3,4-3-3,,,
UNC Asheville,Big South,4-4-1,3-4-1,1-0,,
UNC Greensboro,SoCon,2-8,2-8,,,
UNCW,CAA,4-3-2,4-3-2,,,
UNI,MVC,3-3-1,1-3-1,,,2-0
UNLV,Mountain West,2-6-1,2-6-1,,,
USC Upstate,Big South,4-4-3,4-4-3,,,
UT Martin,OVC,0-4-6,0-4-6,,,
Utah,Big 12,5-3-1,4-3-1,1-0,,
Utah St.,Mountain West,5-4-4,5-4-4,,,
Utah Tech,WAC,4-3-3,4-3-3,,,
Utah Valley,WAC,5-5-2,5-5-2,,,
UTEP,CUSA,3-5-1,3-5-1,,,
UTRGV,Southland,2-4-1,1-4-1,,,1-0
UTSA,American,6-3-3,5-3-3,1-0,,
Valparaiso,MVC,3-4-1,3-4-1,,,
Vanderbilt,SEC,11-2-1,11-2-1,,,
VCU,Atlantic 10,2-6-2,2-6-2,,,
Vermont,America East,3-3-4,3-3-4,,,
Villanova,Big East,5-3,5-3,,,
Virginia,ACC,8-1-3,8-1-3,,,
Virginia Tech,ACC,4-2-2,4-2-2,,,
VMI,SoCon,2-8-1,2-8-1,,,
Wagner,NEC,3-2-4,3-2-4,,,
Wake Forest,ACC,7-2-1,7-2-1,,,
Washington,Big Ten,7-2-5,7-2-5,,,
Washington St.,WCC,2-3-3,2-3-3,,,
Weber St.,Big Sky,7-4-1,7-4-1,,,
West Ga.,ASUN,2-7,2-7,,,
West Virginia,Big 12,6-3-1,6-3-1,,,
Western Caro.,SoCon,5-4-2,5-4-2,,,
Western Ill.,OVC,1-9,0-9,,,1-0
Western Ky.,CUSA,3-5-1,1-5-1,1-0,,1-0
Western Mich.,MAC,6-3,6-3,,,
William & Mary,CAA,2-5-2,2-5-2,,,
Winthrop,Big South,2-3-3,1-3-3,1-0,,
Wisconsin,Big Ten,8-3,8-3,,,
Wofford,SoCon,4-5-3,4-5-3,,,
Wright St.,Horizon,3-6,2-6,1-0,,
Wyoming,Mountain West,5-2-2,3-2-2,2-0,,
Xavier,Big East,8-3-1,8-3-1,,,
Yale,Ivy League,2-6,2-6,,,
Youngstown St.,Horizon,2-8,2-8,,,
