Institution,Conference,TotalAttend,AvgAttend,Capacity,PctCapacity,Games
A&M-Corpus Christi,Southland,"2,439",305,"2,000",15.24,8
Abilene Christian,WAC,"1,282",160,"5,000",3.21,8
Air Force,Mountain West,"2,084",261,"3,000",8.68,8
Akron,MAC,"3,621",453,"5,000",9.05,8
Alabama,SEC,"9,306",931,"1,500",62.04,10
Alabama A&M,SWAC,563,80,500,16.09,7
Alabama St.,SWAC,967,121,500,24.18,8
Alcorn,SWAC,724,121,"22,500",0.54,6
American,Patriot,"1,506",188,"2,000",9.41,8
App State,Sun Belt,"2,867",358,"1,000",35.84,8
Arizona,Pac-12,"7,263",807,"1,000",80.7,9
Arizona St.,Pac-12,"7,013",701,"1,051",66.73,10
Ark.-Pine Bluff,SWAC,762,109,500,21.77,7
Arkansas,SEC,"25,783","2,344","1,500",156.26,11
Arkansas St.,Sun Belt,"2,003",250,500,50.08,8
Army West Point,Patriot,"4,395",440,"2,000",21.98,10
Auburn,SEC,"7,455",828,"1,500",55.22,9
Austin Peay,ASUN,"2,800",350,800,43.75,8
Ball St.,MAC,"1,408",156,"1,000",15.64,9
Baylor,Big 12,"5,215",579,"3,000",19.31,9
Bellarmine,ASUN,"2,230",223,"1,776",12.56,10
Belmont,MVC,"1,362",195,500,38.91,7
Binghamton,America East,"1,778",222,"2,534",8.77,8
Boise St.,Mountain West,"10,832","1,083",750,144.43,10
Boston College,ACC,"4,291",477,"2,000",23.84,9
Boston U.,Patriot,"3,535",295,"10,412",2.83,12
Bowling Green,MAC,"4,368",546,"1,000",54.6,8
Brown,Ivy League,"6,760",676,"3,500",19.31,10
Bryant,America East,"1,231",176,"1,000",17.59,7
Bucknell,Patriot,"4,469",447,"1,250",35.75,10
Buffalo,MAC,"1,445",181,"29,013",0.62,8
Butler,Big East,"4,343",362,"6,500",5.57,12
BYU,Big 12,"52,471","4,036","4,200",96.1,13
Cal Poly,Big West,"12,295","1,366","11,075",12.34,9
Cal St. Fullerton,Big West,"8,249",750,"10,000",7.5,11
California,Pac-12,"3,572",357,"22,000",1.62,10
California Baptist,WAC,"4,884",488,"1,000",48.84,10
Campbell,CAA,"1,854",206,"1,000",20.6,9
Canisius,MAAC,"3,815",382,"1,000",38.15,10
Central Ark.,ASUN,"2,862",286,"1,000",28.62,10
Central Conn. St.,NEC,"3,250",325,"1,000",32.5,10
Central Mich.,MAC,"1,484",212,"1,000",21.2,7
Charleston So.,Big South,"1,480",211,500,42.29,7
Charlotte,AAC,"6,619",735,"4,000",18.39,9
Chattanooga,SoCon,"1,782",223,500,44.55,8
Chicago St.,DI Independent,250,50,0,Inf,5
Cincinnati,Big 12,"4,058",507,"1,400",36.23,8
Clemson,ACC,"17,357","1,157","6,500",17.8,15
Cleveland St.,Horizon,"2,503",313,"3,000",10.43,8
Coastal Carolina,Sun Belt,"1,399",140,"2,300",6.08,10
Col. of Charleston,CAA,"1,794",199,"1,200",16.61,9
Colgate,Patriot,"1,179",168,"1,300",12.96,7
Colorado,Pac-12,"11,644",970,"2,000",48.52,12
Colorado Col.,Mountain West,"2,437",348,"1,000",34.81,7
Colorado St.,Mountain West,"2,588",288,0,Inf,9
Columbia,Ivy League,"2,995",333,"3,000",11.09,9
Cornell,Ivy League,"3,265",408,"1,000",40.81,8
Creighton,Big East,"6,473",719,"6,000",11.99,9
CSU Bakersfield,Big West,"3,062",383,"2,500",15.31,8
CSUN,Big West,"3,021",302,"1,500",20.14,10
Dartmouth,Ivy League,"3,458",432,"2,100",20.58,8
Davidson,Atlantic 10,"1,200",150,"2,000",7.5,8
Dayton,Atlantic 10,"4,324",393,"2,000",19.65,11
Delaware,CAA,"2,026",225,"1,400",16.08,9
Delaware St.,NEC,"1,839",230,"7,000",3.28,8
Denver,Summit League,"6,112",611,"1,915",31.92,10
DePaul,Big East,"3,059",340,"1,000",33.99,9
Detroit Mercy,Horizon,"2,322",232,"1,000",23.22,10
Drake,MVC,"3,945",303,"14,557",2.08,13
Drexel,CAA,"1,966",218,"1,000",21.84,9
Duke,ACC,"10,650","1,183","4,000",29.58,9
Duquesne,Atlantic 10,"2,483",276,"2,200",12.54,9
East Carolina,AAC,"3,153",526,"1,000",52.55,6
Eastern Ill.,OVC,"1,100",138,"1,000",13.75,8
Eastern Ky.,ASUN,"2,505",278,400,69.58,9
Eastern Mich.,MAC,"2,202",275,700,39.32,8
Eastern Wash.,Big Sky,"1,447",181,500,36.18,8
Elon,CAA,"3,699",411,625,65.76,9
ETSU,SoCon,"4,598",418,"2,000",20.9,11
Evansville,MVC,"3,150",394,"2,500",15.75,8
Fairfield,MAAC,"4,379",398,600,66.35,11
FDU,NEC,"2,060",229,"1,100",20.81,9
FGCU,ASUN,"1,946",216,"1,500",14.41,9
FIU,CUSA,"1,968",197,"1,500",13.12,10
Fla. Atlantic,AAC,"2,607",261,"1,000",26.07,10
Florida,SEC,"6,104",763,"1,500",50.87,8
Florida St.,ACC,"17,034","1,549","2,000",77.43,11
Fordham,Atlantic 10,"2,770",252,"7,000",3.6,11
Fresno St.,Mountain West,"4,987",499,"1,300",38.36,10
Furman,SoCon,"2,698",385,"3,000",12.85,7
Ga. Southern,Sun Belt,"2,609",326,500,65.23,8
Gardner-Webb,Big South,680,76,"1,000",7.56,9
George Mason,Atlantic 10,"2,908",323,"5,000",6.46,9
George Washington,Atlantic 10,"1,554",173,"1,000",17.27,9
Georgetown,Big East,"6,970",697,"1,625",42.89,10
Georgia,SEC,"14,571","1,325","1,682",78.75,11
Georgia St.,Sun Belt,"1,341",134,"2,000",6.71,10
Gonzaga,WCC,"7,701",770,"1,500",51.34,10
Grambling,SWAC,"1,140",114,0,Inf,10
Grand Canyon,WAC,"6,117",556,"6,000",9.27,11
Green Bay,Horizon,"1,207",172,"1,500",11.5,7
Hampton,CAA,464,66,200,33.14,7
Harvard,Ivy League,"4,637",515,"2,500",20.61,9
Hawaii,Big West,"7,427",928,"4,000",23.21,8
High Point,Big South,"3,506",501,"1,100",45.53,7
Hofstra,CAA,"2,395",299,"1,600",18.71,8
Holy Cross,Patriot,"2,085",232,"1,320",17.55,9
Houston,Big 12,"4,675",468,"2,500",18.7,10
Houston Christian,Southland,"1,508",215,500,43.09,7
Howard,NEC,"2,796",254,"7,086",3.59,11
Idaho,Big Sky,"2,143",306,"16,000",1.91,7
Idaho St.,Big Sky,"2,159",270,"4,000",6.75,8
Illinois,Big Ten,"4,071",582,0,Inf,7
Illinois St.,MVC,"2,076",260,"1,000",25.95,8
Indiana,Big Ten,"4,251",386,"6,100",6.34,11
Indiana St.,MVC,"2,240",280,"12,464",2.25,8
Iona,MAAC,"1,550",221,"2,440",9.07,7
Iowa,Big Ten,"8,320",924,"3,000",30.81,9
Iowa St.,Big 12,"4,383",487,"1,500",32.47,9
IU Indy,Horizon,"3,372",337,"10,000",3.37,10
Jackson St.,SWAC,665,67,400,16.63,10
Jacksonville,ASUN,"2,995",300,500,59.9,10
Jacksonville St.,CUSA,"2,779",309,500,61.76,9
James Madison,Sun Belt,"2,072",230,"1,500",15.35,9
Kansas,Big 12,"6,039",671,"2,500",26.84,9
Kansas City,Summit League,"2,198",275,850,32.32,8
Kansas St.,Big 12,"8,766",877,"1,394",62.88,10
Kennesaw St.,ASUN,"1,775",222,"8,300",2.67,8
Kent St.,MAC,"3,474",386,"25,319",1.52,9
Kentucky,SEC,"9,040",904,"1,500",60.27,10
La Salle,Atlantic 10,"1,690",154,"7,500",2.05,11
Lafayette,Patriot,"1,836",230,0,Inf,8
Lamar University,Southland,"4,554",506,500,101.2,9
Le Moyne,NEC,"1,713",214,"1,500",14.27,8
Lehigh,Patriot,"1,588",227,"1,000",22.69,7
Liberty,CUSA,"2,910",364,"1,000",36.38,8
Lindenwood,OVC,"1,777",254,"6,000",4.23,7
Lipscomb,ASUN,"2,710",208,"2,000",10.42,13
Little Rock,OVC,"1,320",189,"1,000",18.86,7
LIU,NEC,"1,493",213,300,71.1,7
LMU (CA),WCC,"3,721",372,"2,000",18.61,10
Long Beach St.,Big West,"7,907",719,"1,000",71.88,11
Longwood,Big South,"2,230",319,350,91.02,7
Louisiana,Sun Belt,"2,292",327,"5,000",6.55,7
Louisiana Tech,CUSA,"2,526",230,500,45.93,11
Louisville,ACC,"3,109",311,"5,300",5.87,10
Loyola Chicago,Atlantic 10,"2,237",249,615,40.42,9
Loyola Maryland,Patriot,"3,394",309,"6,000",5.14,11
LSU,SEC,"9,019",820,"2,197",37.32,11
Maine,America East,"3,283",365,"4,400",8.29,9
Manhattan,MAAC,"1,552",222,"2,000",11.09,7
Marist,MAAC,"3,029",433,"5,000",8.65,7
Marquette,Big East,"2,838",284,"1,750",16.22,10
Marshall,Sun Belt,"8,166",817,"1,006",81.17,10
Maryland,Big Ten,"6,115",764,"7,000",10.92,8
Massachusetts,Atlantic 10,"3,521",440,"2,000",22.01,8
McNeese,Southland,"1,674",209,300,69.75,8
Memphis,AAC,"7,523",836,"2,042",40.93,9
Mercer,SoCon,"1,857",169,500,33.76,11
Merrimack,NEC,"3,547",355,"2,000",17.74,10
Miami (FL),ACC,"2,022",253,500,50.55,8
Miami (OH),MAC,"1,745",194,"1,500",12.93,9
Michigan,Big Ten,"9,193","1,149","2,200",52.23,8
Michigan St.,Big Ten,"20,378","1,698","2,000",84.91,12
Middle Tenn.,CUSA,"5,312",531,"1,500",35.41,10
Milwaukee,Horizon,"5,255",478,"2,000",23.89,11
Minnesota,Big Ten,"7,224",903,"1,000",90.3,8
Mississippi St.,SEC,"10,122",920,500,184.04,11
Mississippi Val.,SWAC,225,45,500,9,5
Missouri,SEC,"5,276",660,"2,500",26.38,8
Missouri St.,MVC,"2,170",241,"1,000",24.11,9
Monmouth,CAA,"1,790",256,"1,500",17.05,7
Montana,Big Sky,"6,931",770,"1,200",64.18,9
Morehead St.,OVC,"1,721",191,"10,000",1.91,9
Mount St. Mary's,MAAC,"2,369",237,"1,000",23.69,10
Murray St.,MVC,"1,225",153,250,61.25,8
Navy,Patriot,"5,524",552,"2,500",22.1,10
NC State,ACC,"11,540","1,282","2,000",64.11,9
Nebraska,Big Ten,"17,203","1,323","2,500",52.93,13
Nevada,Mountain West,"6,634",829,"29,993",2.76,8
New Hampshire,America East,"2,324",291,"11,015",2.64,8
New Mexico,Mountain West,"8,244",749,"6,200",12.09,11
New Mexico St.,CUSA,"6,046",672,"1,000",67.18,9
Niagara,MAAC,"2,775",308,"1,200",25.69,9
Nicholls,Southland,"1,956",217,"1,000",21.73,9
NIU,MAC,"1,506",188,"1,989",9.46,8
NJIT,America East,"2,568",233,"1,000",23.35,11
North Ala.,ASUN,"3,143",349,500,69.84,9
North Carolina,ACC,"36,345","3,029","4,200",72.11,12
North Dakota,Summit League,"1,517",126,"1,000",12.64,12
North Dakota St.,Summit League,"1,925",193,"2,600",7.4,10
North Florida,ASUN,"5,913",657,"9,300",7.06,9
North Texas,AAC,"4,141",518,"1,500",34.51,8
Northeastern,CAA,"2,102",234,"3,000",7.79,9
Northern Ariz.,Big Sky,"8,276",690,"1,000",68.97,12
Northern Colo.,Big Sky,"2,081",347,"1,860",18.65,6
Northern Ky.,Horizon,"3,099",344,"1,000",34.43,9
Northwestern,Big Ten,"5,423",603,"1,702",35.4,9
Northwestern St.,Southland,764,109,"1,000",10.91,7
Notre Dame,ACC,"6,888",626,"2,500",25.05,11
Oakland,Horizon,"1,578",197,"1,000",19.73,8
Ohio,MAC,"2,707",301,"1,000",30.08,9
Ohio St.,Big Ten,"8,664",866,"4,518",19.18,10
Oklahoma,Big 12,"9,915","1,102","3,500",31.48,9
Oklahoma St.,Big 12,"11,350","1,135","2,500",45.4,10
Old Dominion,Sun Belt,"2,934",326,"4,000",8.15,9
Ole Miss,SEC,"4,744",527,"1,500",35.14,9
Omaha,Summit League,"3,403",378,"3,097",12.21,9
Oral Roberts,Summit League,"5,099",728,"1,000",72.84,7
Oregon,Pac-12,"2,300",288,"2,000",14.37,8
Oregon St.,Pac-12,"6,763",615,"1,500",40.99,11
Pacific,WCC,"3,305",367,"1,000",36.72,9
Penn,Ivy League,"1,477",164,650,25.25,9
Penn St.,Big Ten,"15,867","1,058","5,000",21.16,15
Pepperdine,WCC,"3,102",388,"1,000",38.78,8
Pittsburgh,ACC,"9,038",904,735,122.97,10
Portland,WCC,"9,377","1,172","4,852",24.16,8
Portland St.,Big Sky,"2,072",230,"7,643",3.01,9
Prairie View,SWAC,"2,458",307,200,153.63,8
Presbyterian,Big South,"1,505",188,500,37.63,8
Princeton,Ivy League,"9,207",921,0,Inf,10
Providence,Big East,"5,240",476,"2,500",19.05,11
Purdue,Big Ten,"9,773",888,"1,000",88.85,11
Purdue Fort Wayne,Horizon,"3,148",350,"3,500",9.99,9
Queens (NC),ASUN,"1,294",162,"2,000",8.09,8
Quinnipiac,MAAC,"3,674",334,"1,500",22.27,11
Radford,Big South,"3,540",443,"5,000",8.85,8
Rhode Island,Atlantic 10,923,103,"2,000",5.13,9
Rice,AAC,"4,481",560,"1,000",56.01,8
Richmond,Atlantic 10,"1,941",216,500,43.13,9
Rider,MAAC,"9,276","1,031","1,000",103.07,9
Robert Morris,Horizon,"1,036",130,"1,000",12.95,8
Rutgers,Big Ten,"8,143",740,"5,000",14.81,11
Sacramento St.,Big Sky,"2,088",232,"1,050",22.1,9
Sacred Heart,NEC,"2,364",296,0,Inf,8
Saint Francis ,NEC,986,141,500,28.17,7
Saint Joseph's,Atlantic 10,"1,268",159,"3,000",5.28,8
Saint Louis,Atlantic 10,"12,032","1,003","6,050",16.57,12
Saint Mary's (CA),WCC,"2,842",355,"3,500",10.15,8
Saint Peter's,MAAC,335,42,"1,000",4.19,8
Sam Houston,CUSA,"1,730",192,"1,500",12.81,9
Samford,SoCon,"2,938",294,"1,200",24.48,10
San Diego,WCC,"3,076",385,"5,792",6.64,8
San Diego St.,Mountain West,"3,118",312,"1,500",20.79,10
San Francisco,WCC,"3,854",482,"3,000",16.06,8
San Jose St.,Mountain West,"5,624",562,500,112.48,10
Santa Clara,WCC,"8,843",884,"6,800",13,10
Seattle U,WAC,"3,293",329,"1,200",27.44,10
Seton Hall,Big East,"2,504",250,"1,800",13.91,10
SFA,WAC,"1,538",171,"2,000",8.54,9
Siena,MAAC,"2,597",325,500,64.93,8
SIUE,OVC,"2,859",286,"4,000",7.15,10
SMU,AAC,"4,150",692,"2,577",26.84,6
South Alabama,Sun Belt,"1,903",211,690,30.64,9
South Carolina,SEC,"45,650","4,150","5,700",72.81,11
South Carolina St.,DI Independent,563,113,0,Inf,5
South Dakota,Summit League,"1,557",156,800,19.46,10
South Dakota St.,Summit League,"3,771",343,"1,500",22.85,11
South Fla.,AAC,"5,558",695,"3,000",23.16,8
Southeast Mo. St.,OVC,"2,142",306,"10,000",3.06,7
Southeastern La.,Southland,"1,103",184,"7,408",2.48,6
Southern California,Pac-12,"6,521",652,"1,000",65.21,10
Southern Ill.,MVC,800,100,"15,000",0.67,8
Southern Ind.,OVC,"1,939",194,500,38.78,10
Southern Miss.,Sun Belt,"1,568",174,"1,500",11.61,9
Southern U.,SWAC,"1,662",277,"28,500",0.97,6
Southern Utah,WAC,950,136,600,22.62,7
St. Bonaventure,Atlantic 10,"1,935",215,"1,000",21.5,9
St. John's (NY),Big East,"3,396",340,"2,168",15.66,10
St. Thomas (MN),Summit League,"2,279",380,"1,000",37.98,6
Stanford,Pac-12,"25,683","1,835","1,900",96.55,14
Stetson,ASUN,"1,385",139,500,27.7,10
Stonehill,NEC,"2,012",224,0,Inf,9
Stony Brook,CAA,"2,424",269,"12,300",2.19,9
Syracuse,ACC,"1,858",265,"1,500",17.7,7
Tarleton St.,WAC,"5,698",518,500,103.6,11
TCU,Big 12,"15,471","1,547","1,500",103.14,10
Temple,AAC,"1,495",150,"1,000",14.95,10
Tennessee,SEC,"10,693","1,188","3,000",39.6,9
Tennessee Tech,OVC,"4,944",449,800,56.18,11
Tex. A&M-Commerce,Southland,"2,744",343,"1,000",34.3,8
Texas,Big 12,"12,118",808,"20,000",4.04,15
Texas A&M,SEC,"26,503","2,209","3,500",63.1,12
Texas Southern,SWAC,"1,000",111,"5,500",2.02,9
Texas St.,Sun Belt,"3,134",313,500,62.68,10
Texas Tech,Big 12,"17,097","1,315","2,000",65.76,13
The Citadel,SoCon,662,95,500,18.91,7
Toledo,MAC,"2,959",296,0,Inf,10
Towson,CAA,"4,539",454,"1,000",45.39,10
Troy,Sun Belt,"2,003",250,"1,000",25.04,8
Tulsa,AAC,"2,355",236,"2,000",11.77,10
UAB,AAC,"2,195",244,"6,000",4.06,9
UAlbany,America East,"2,146",307,"8,500",3.61,7
UC Davis,Big West,"3,664",407,"1,000",40.71,9
UC Irvine,Big West,"7,958",796,"2,500",31.83,10
UC Riverside,Big West,"3,209",321,"1,056",30.39,10
UC San Diego,Big West,"2,505",313,"1,750",17.89,8
UC Santa Barbara,Big West,"2,743",305,"17,000",1.79,9
UCF,Big 12,"4,811",601,"2,475",24.3,8
UCLA,Pac-12,"16,251","1,477","2,145",68.87,11
UConn,Big East,"11,660","1,060","4,500",23.56,11
UIC,MVC,"1,797",200,"1,200",16.64,9
UIW,Southland,"1,026",114,"6,000",1.9,9
ULM,Sun Belt,"1,213",173,0,Inf,7
UMass Lowell,America East,"2,079",260,"1,000",25.99,8
UMBC,America East,"4,402",440,"1,500",29.35,10
UNC Asheville,Big South,"1,715",191,"1,000",19.06,9
UNC Greensboro,SoCon,"4,559",414,"3,540",11.71,11
UNCW,CAA,"5,608",623,500,124.62,9
UNI,MVC,"1,175",107,0,Inf,11
UNLV,Mountain West,"3,612",361,"2,500",14.45,10
USC Upstate,Big South,"1,819",227,"3,000",7.58,8
UT Martin,OVC,"1,885",236,500,47.13,8
Utah,Pac-12,"10,042","1,116","1,100",101.43,9
Utah St.,Mountain West,"9,459",788,"1,000",78.83,12
Utah Tech,WAC,"2,803",280,"10,000",2.8,10
Utah Valley,WAC,"14,146","2,021","2,000",101.04,7
UTEP,CUSA,"3,834",426,500,85.2,9
UTRGV,WAC,"2,276",285,"1,250",22.76,8
UTSA,AAC,"7,002",875,"1,000",87.52,8
Valparaiso,MVC,"1,941",243,"5,000",4.85,8
Vanderbilt,SEC,"8,499",708,"2,400",29.51,12
VCU,Atlantic 10,"4,538",504,"3,250",15.51,9
Vermont,America East,"2,693",337,"3,000",11.22,8
Villanova,Big East,"2,058",257,"1,500",17.15,8
Virginia,ACC,"17,796","1,618","8,000",20.22,11
Virginia Tech,ACC,"4,357",545,"2,028",26.86,8
VMI,SoCon,"2,437",244,"1,000",24.37,10
Wagner,NEC,"1,986",248,"3,300",7.52,8
Wake Forest,ACC,"6,650",739,"3,000",24.63,9
Washington,Pac-12,"12,596","1,145","2,200",52.05,11
Washington St.,Pac-12,"14,267","1,297","2,000",64.85,11
Weber St.,Big Sky,"1,723",287,"2,000",14.36,6
West Virginia,Big 12,"8,603",860,"1,650",52.14,10
Western Caro.,SoCon,"6,392",581,"1,000",58.11,11
Western Ill.,OVC,666,95,"1,000",9.51,7
Western Ky.,CUSA,"3,607",328,"1,500",21.86,11
Western Mich.,MAC,"2,701",300,500,60.02,9
William & Mary,CAA,"3,212",402,"1,000",40.15,8
Winthrop,Big South,"1,758",220,0,Inf,8
Wisconsin,Big Ten,"8,429",766,"4,500",17.03,11
Wisconsin,Big Ten,"8,429",766,0,Inf,11
Wofford,SoCon,"1,490",135,550,24.63,11
Wright St.,Horizon,"2,861",358,750,47.68,8
Wyoming,Mountain West,"2,883",320,"1,500",21.36,9
Xavier,Big East,"7,612",692,"1,000",69.2,11
Yale,Ivy League,"3,174",453,"1,766",25.68,7
Youngstown St.,Horizon,"3,502",389,500,77.82,9
